id;uuid;created_at;ended_at;duration
1;5cf2bc99-2721-407d-992b-a00fbdf302f2;2019-11-16T06:11:27;2019-11-16T13:42:31;61165
2;80604896-204f-4537-9c93-68f970d9a271;2019-11-16T20:41:31;2019-11-15T22:14:14;94220
3;f9c64013-a37a-4197-902e-642ac4683892;2019-11-16T20:15:31;2019-11-15T21:44:26;84228
4;c7f6ee9b-e519-4380-b5d6-b48d95f49842;2019-11-16T13:53:59;2019-11-16T01:45:28;16526
5;10f6c634-00d3-4bbb-8c91-e5a1edd97511;2019-11-16T12:06:38;2019-11-16T13:32:48;66884
6;5ab9a4e8-761f-4bdc-b83c-4708b6107130;2019-11-15T23:30:44;2019-11-16T05:44:12;47537
7;598be239-68c3-43f1-94b2-ee9c4a1d7c32;2019-11-16T11:00:51;2019-11-15T23:35:21;88328
8;85c1e55e-143a-460d-9d40-288673b1453f;2019-11-16T16:58:17;2019-11-16T13:15:12;21876
9;88b651f4-f34b-47b4-a4f0-49f860045ea3;2019-11-16T04:40:25;2019-11-16T17:31:58;53093
10;77f839a1-c533-4bc5-bafa-68d1cd2582b0;2019-11-16T00:24:35;2019-11-16T06:49:44;32595
